Comparison,Metric,Mean_1,Mean_2,Diff,Cohens_d,t_stat,t_pvalue,MW_U,MW_pvalue,Bonferroni_p,Significant_raw,Significant_bonf
WT dimer vs Compound dimer,pTM,0.7860,0.7440,0.0420,1.64,2.595,0.031876,22,0.070485,0.255008,YES,no
WT dimer vs Compound dimer,ipTM,0.7600,0.7100,0.0500,1.62,2.565,0.033389,22,0.057008,0.267112,YES,no
WT dimer vs Compound dimer,FAD_iptm,0.5680,0.5380,0.0300,1.29,2.032,0.076636,20,0.138792,0.613090,no,no
WT dimer vs Compound dimer,pLDDT@222,97.4800,96.5000,0.9800,4.99,7.897,0.000048,25,0.011925,0.000383,YES,YES
WT dimer vs Compound dimer,pLDDT@429,96.1600,95.2000,0.9600,3.65,5.779,0.000415,25,0.011925,0.003322,YES,YES
WT dimer vs C677T dimer,pTM,0.7860,0.7800,0.0060,0.30,0.480,0.643815,14,0.751830,1.000000,no,no
WT dimer vs C677T dimer,ipTM,0.7600,0.7540,0.0060,0.25,0.391,0.706312,15,0.672336,1.000000,no,no
WT dimer vs C677T dimer,FAD_iptm,0.5680,0.5660,0.0020,0.10,0.163,0.874333,12,1.000000,1.000000,no,no
WT dimer vs C677T dimer,pLDDT@222,97.4800,97.0400,0.4400,2.54,4.017,0.003859,24,0.015651,0.030874,YES,YES
WT dimer vs C677T dimer,pLDDT@429,96.1600,95.9800,0.1800,0.77,1.214,0.259526,18,0.293326,1.000000,no,no
C677T dimer vs Compound dimer,pTM,0.7800,0.7440,0.0360,1.35,2.129,0.065924,21,0.092692,0.527390,no,no
C677T dimer vs Compound dimer,ipTM,0.7540,0.7100,0.0440,1.47,2.332,0.048012,21,0.093693,0.384095,YES,no
C677T dimer vs Compound dimer,FAD_iptm,0.5660,0.5380,0.0280,1.14,1.807,0.108322,20,0.166607,0.866575,no,no
C677T dimer vs Compound dimer,pLDDT@222,97.0400,96.5000,0.5400,3.04,4.811,0.001337,24,0.015333,0.010697,YES,YES
C677T dimer vs Compound dimer,pLDDT@429,95.9800,95.2000,0.7800,3.16,4.993,0.001061,25,0.011925,0.008492,YES,YES
